idx,module,column,year,code,was,now
54521,07,p601d1,2017,12,Anual,Otro
54989,08,p602db,2017,2,Pagó : por otros pagos asociados,"Pagó por otros pagos asociados (transporte del alimento, kerosene, cocinera, etc)"
54991,08,p602db,2018,2,Pagó : por otros pagos asociados,"Pagó por otros pagos asociados (transporte del alimento, combustible, cocinera, etc)"
54993,08,p602db,2019,2,Pagó : por otros pagos asociados,"Pagó por otros pagos asociados (transporte del alimento, combustible, cocinera, etc)"
55001,08,p602db,2024,2,Pago por otros pagos asociados,"Pago por otros pagos asociados (transporte del alimento, combustible, cocinera, etc)"
55065,08,p602n,2022,1,Vaso            preparadobenéficas),Vaso de leche preparado
55071,08,p602n,2022,7,"Cena - club de madres, y otros",Cena - otros
55087,08,p602n,2023,7,"Cena - club de madres, y otros",Cena - otros
55628,09,p603n,2024,15,Otros articulos,"Otros articulos? (fosforos, vela, etc.)"
55878,10,p604a5,2017,1,Regalado o pagado,Regalado o pagado por algún miembro de otro hogar
55880,10,p604a5,2018,1,Regalado o pagado,Regalado o pagado por algún miembro de otro hogar
55882,10,p604a5,2019,1,Regalado o pagado,Regalado o pagado por algún miembro de otro hogar
56044,10,p604n,2017,3,Reparación y conservación de vehículo,"Reparación y conservación del vehículo (lavado, cambio de aceite, etc)"
56057,10,p604n,2018,3,Reparación y conservación de vehículo,"Reparación y conservación del vehículo (lavado, cambio de aceite, etc)"
56070,10,p604n,2019,3,Reparación y conservación de vehículo,"Reparación y conservación del vehículo (lavado, cambio de aceite, etc)"
56785,12,p606a4,2016,1,Parte de pago,Como parte de pago a un miembro del hogar
56787,12,p606a4,2017,1,Parte de pago,Como parte de pago a un miembro del hogar
56789,12,p606a4,2018,1,Parte de pago,Como parte de pago a un miembro del hogar
56791,12,p606a4,2019,1,Parte de pago,Como parte de pago a un miembro del hogar
56805,12,p606a5,2016,1,Regalado o pagado,Regalado o pagado por algún miembro de otro hogar
56807,12,p606a5,2017,1,Regalado o pagado,Regalado o pagado por algún miembro de otro hogar
56809,12,p606a5,2018,1,Regalado o pagado,Regalado o pagado por algún miembro de otro hogar
56811,12,p606a5,2019,1,Regalado o pagado,Regalado o pagado por algún miembro de otro hogar
56986,12,p606n,2016,5,Diskette,"Disquetes, usb"
56994,12,p606n,2017,5,"Diskette, usb","Disquetes, usb"
57002,12,p606n,2018,5,"Diskette, usb","Disquetes, usb"
57043,12,p606n,2024,3,"Aportaciones o cuotas a club, asociacion...","Aportaciones o cuotas a clubes, asociaciones, etc."
57044,12,p606n,2024,4,Gasto en gimnasio,"Gastos en gimnasios (aerobicos, artes marciales, pesas)"
57842,15,p609n,2016,9,Otro,Otros gastos
57851,15,p609n,2017,9,Otro,Otros gastos
57860,15,p609n,2018,9,Otro,Otros gastos
57869,15,p609n,2019,9,Otro,Otros gastos
58216,16,p610a5,2016,1,Regalado o pagado,Regalado o pagado por algún miembro de otro hogar
58218,16,p610a5,2017,1,Regalado o pagado,Regalado o pagado por algún miembro de otro hogar
58220,16,p610a5,2018,1,Regalado o pagado,Regalado o pagado por algún miembro de otro hogar
