module,column,year,code,resolved,dta
07,estrato,2017,1,De 500 000 a más habitantes., de 500 000 a más habitantes
07,estrato,2017,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
07,estrato,2017,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
07,estrato,2017,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
07,estrato,2017,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
07,estrato,2017,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
07,estrato,2018,1,De 500 000 a más habitantes., de 500 000 a más habitantes
07,estrato,2018,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
07,estrato,2018,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
07,estrato,2018,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
07,estrato,2018,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
07,estrato,2018,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
07,estrato,2019,1,De 500 000 a más habitantes., de 500 000 a más habitantes
07,estrato,2019,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
07,estrato,2019,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
07,estrato,2019,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
07,estrato,2019,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
07,estrato,2019,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
07,p601a1,2017,0,No marcado,pase
07,p601a1,2018,0,No marcado,pase
07,p601a1,2019,0,No marcado,pase
07,p601a1,2021,0,No marcado,pase
07,p601a1,2022,0,No marcado,pase
07,p601a1,2023,0,No marcado,pase
07,p601a2,2017,0,No marcado,pase
07,p601a2,2018,0,No marcado,pase
07,p601a2,2019,0,No marcado,pase
07,p601a2,2021,0,No marcado,pase
07,p601a2,2022,0,No marcado,pase
07,p601a2,2023,0,No marcado,pase
07,p601a3,2017,0,No marcado,pase
07,p601a3,2018,0,No marcado,pase
07,p601a3,2019,0,No marcado,pase
07,p601a3,2021,0,No marcado,pase
07,p601a3,2022,0,No marcado,pase
07,p601a3,2023,0,No marcado,pase
07,p601a4,2017,0,No marcado,pase
07,p601a4,2018,0,No marcado,pase
07,p601a4,2019,0,No marcado,pase
07,p601a4,2021,0,No marcado,pase
07,p601a4,2022,0,No marcado,pase
07,p601a4,2023,0,No marcado,pase
07,p601a5,2017,0,No marcado,pase
07,p601a5,2018,0,No marcado,pase
07,p601a5,2019,0,No marcado,pase
07,p601a5,2021,0,No marcado,pase
07,p601a5,2022,0,No marcado,pase
07,p601a5,2023,0,No marcado,pase
07,p601a6,2017,0,No marcado,pase
07,p601a6,2018,0,No marcado,pase
07,p601a6,2019,0,No marcado,pase
07,p601a6,2021,0,No marcado,pase
07,p601a6,2022,0,No marcado,pase
07,p601a6,2023,0,No marcado,pase
07,p601a7,2017,0,No marcado,pase
07,p601a7,2018,0,No marcado,pase
07,p601a7,2019,0,No marcado,pase
07,p601a7,2021,0,No marcado,pase
07,p601a7,2022,0,No marcado,pase
07,p601a7,2023,0,No marcado,pase
07,p601b4,2017,1,"Ambulante (triciclo, etc )","ambulante (triciclo, etc.)"
07,p601b4,2018,1,"Ambulante (triciclo, etc )","ambulante (triciclo, etc.)"
07,p601b4,2019,1,"Ambulante (triciclo, etc )","ambulante (triciclo, etc.)"
07,p601b4,2021,1,"Ambulante (triciclo, etc )","ambulante (triciclo, etc.)"
07,p601b4,2022,1,"Ambulante (triciclo, etc )","ambulante (triciclo, etc.)"
07,p601b4,2023,1,"Ambulante (triciclo, etc )","ambulante (triciclo, etc.)"
07,p601d1,2017,12,Anual,otro
08,estrato,2017,1,De 500 000 a más habitantes., de 500 000 a más habitantes
08,estrato,2017,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
08,estrato,2017,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
08,estrato,2017,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
08,estrato,2017,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
