column,year,code,rows,total,share_pct
ocu500,2004,0,317,59998,0.5284
ocu500,2005,0,709,59725,1.1871
ocu500,2006,0,258,62342,0.4138
ocu500,2007,0,102,65549,0.1556
ocu500,2008,0,118,63762,0.1851
ocu500,2009,0,67,64767,0.1034
ocu500,2010,0,89,63810,0.1395
ocu500,2011,0,135,73092,0.1847
ocu500,2012,0,82,73329,0.1118
ocu500,2013,0,92,87982,0.1046
ocu500,2014,0,102,87871,0.1161
ocu500,2015,0,162,88084,0.1839
ocu500,2016,0,203,97422,0.2084
ocu500,2020,0,86,91315,0.0942
ocu500,2024,0,206,85992,0.2396
ocu500,2025,0,173,84853,0.2039
p504,2011,2,1,73092,0.0014
p519,2025,3,1,84853,0.0012
p521c,2016,9,26,97422,0.0267
p546,2011,9,2,73092,0.0027
p550_1,2024,2,2,85992,0.0023
p550_3,2024,1,1,85992,0.0012
p55610d,2020,0,65,91315,0.0712
p55611d,2020,0,6983,91315,7.6472
p55612d,2020,0,80,91315,0.0876
p55613d,2020,0,111,91315,0.1216
p55614d,2020,0,27,91315,0.0296
p55616d,2020,0,6367,91315,6.9726
p55617d,2020,0,1237,91315,1.3547
p55618d,2020,0,1759,91315,1.9263
p55619d,2020,0,5638,91315,6.1742
p5561d,2004,0,55,59998,0.0917
p5561d,2005,0,42,59725,0.0703
p5561d,2006,0,50,62342,0.0802
p5561d,2007,0,68,65549,0.1037
p5561d,2008,0,66,63762,0.1035
p5561d,2009,0,69,64767,0.1065
p5561d,2010,0,57,63810,0.0893
p5561d,2011,0,61,73092,0.0835
p5561d,2012,0,80,73329,0.1091
p5561d,2013,0,95,87982,0.108
p5561d,2014,0,103,87871,0.1172
p5561d,2015,0,95,88084,0.1079
p5561d,2016,0,106,97422,0.1088
p5561d,2020,0,88,91315,0.0964
p5562d,2004,0,623,59998,1.0384
p5562d,2005,0,666,59725,1.1151
p5562d,2006,0,644,62342,1.033
p5562d,2007,0,991,65549,1.5118
p5562d,2008,0,1078,63762,1.6907
p5562d,2009,0,1208,64767,1.8651
p5562d,2010,0,1258,63810,1.9715
p5562d,2011,0,1418,73092,1.94
p5562d,2012,0,1465,73329,1.9978
p5562d,2013,0,1863,87982,2.1175
p5562d,2014,0,1841,87871,2.0951
p5562d,2015,0,1979,88084,2.2467
p5562d,2016,0,2423,97422,2.4871
p5562d,2020,0,2304,91315,2.5231
p5563c1,2014,99,20,87871,0.0228
p5563c1,2015,99,76,88084,0.0863
p5563c1,2016,99,10,97422,0.0103
p5563c1,2020,99,2,91315,0.0022
p5563d,2004,0,6146,59998,10.2437
p5563d,2005,0,5755,59725,9.6358
p5563d,2006,0,5421,62342,8.6956
p5563d,2007,0,5566,65549,8.4914
p5563d,2008,0,5202,63762,8.1585
p5563d,2009,0,4898,64767,7.5625
p5563d,2010,0,4863,63810,7.6211
p5563d,2011,0,5007,73092,6.8503
p5563d,2012,0,4375,73329,5.9663
p5563d,2013,0,4906,87982,5.5761
p5563d,2014,0,4829,87871,5.4956
p5563d,2015,0,4812,88084,5.463
p5563d,2016,0,5256,97422,5.3951
p5563d,2020,0,4659,91315,5.1021
p5564d,2004,0,1603,59998,2.6718
p5564d,2005,0,1580,59725,2.6455
p5564d,2006,0,1701,62342,2.7285
p5564d,2007,0,1823,65549,2.7811
p5564d,2008,0,1674,63762,2.6254
p5564d,2009,0,1627,64767,2.5121
p5564d,2010,0,1666,63810,2.6109
p5564d,2011,0,1945,73092,2.661
p5564d,2012,0,2080,73329,2.8365
p5564d,2013,0,2670,87982,3.0347
p5564d,2014,0,2743,87871,3.1216
p5564d,2015,0,2623,88084,2.9778
p5564d,2016,0,3343,97422,3.4315
p5564d,2020,0,2922,91315,3.1999
p5565d,2004,0,420,59998,0.7
p5565d,2005,0,427,59725,0.7149
p5565d,2006,0,486,62342,0.7796
p5565d,2007,0,497,65549,0.7582
p5565d,2008,0,525,63762,0.8234
p5565d,2009,0,497,64767,0.7674
p5565d,2010,0,521,63810,0.8165
p5565d,2011,0,614,73092,0.84
p5565d,2012,0,644,73329,0.8782
p5565d,2013,0,777,87982,0.8831
p5565d,2014,0,885,87871,1.0072
p5565d,2015,0,763,88084,0.8662
p5565d,2016,0,903,97422,0.9269
p5565d,2020,0,770,91315,0.8432
p5566d,2004,0,403,59998,0.6717
p5566d,2005,0,207,59725,0.3466
p5566d,2006,0,536,62342,0.8598
p5566d,2007,0,1279,65549,1.9512
p5566d,2008,0,1889,63762,2.9626
p5566d,2009,0,1681,64767,2.5955
p5566d,2010,0,1829,63810,2.8663
p5566d,2011,0,2124,73092,2.9059
p5566d,2012,0,2107,73329,2.8734
p5566d,2013,0,3262,87982,3.7076
p5566d,2014,0,3660,87871,4.1652
p5566d,2015,0,4585,88084,5.2053
p5566d,2016,0,4641,97422,4.7638
p5566d,2020,0,5011,91315,5.4876
p5571a,2025,0,1,84853,0.0012
p5572a,2025,0,1,84853,0.0012
p5573a,2025,0,1,84853,0.0012
p5574a,2025,0,1,84853,0.0012
p5575a,2025,0,1,84853,0.0012
p5576a,2025,0,1,84853,0.0012
p5577a,2025,0,1,84853,0.0012
p5578a,2025,0,1,84853,0.0012
p5581a,2025,0,1,84853,0.0012
p558f1a,2024,6,1,85992,0.0012
p558f1b,2024,1,1,85992,0.0012
p558g1,2024,2,1,85992,0.0012
p558g1,2024,6,1,85992,0.0012
p558g1,2024,9,1,85992,0.0012
p558h10_6,2024,1,1,85992,0.0012
p558h11_6,2024,1,1,85992,0.0012
p558h12_6,2024,1,1,85992,0.0012
p558h3_6,2024,1,1,85992,0.0012
p558h4_6,2024,1,1,85992,0.0012
p558h7_6,2024,1,1,85992,0.0012
p558h9_6,2024,1,1,85992,0.0012
p560a1_01,2025,0,1,84853,0.0012
p560a1_03,2025,99,1,84853,0.0012
p560c_01,2025,0,1,84853,0.0012
p560e_01,2025,0,1,84853,0.0012
p560e_09,2025,0,1,84853,0.0012
