module,column,verdict,reason,years,ref_year
02,codtarea,VERIFIED_MAPPING,,14,2025
02,codtiempo,VERIFIED_MAPPING,,14,2025
02,dominio,VERIFIED_MAPPING,,22,2025
02,estrato,VERIFIED_MAPPING,,22,2025
02,ocupac_r3,VERIFIED_MAPPING,,14,2025
02,ocupac_r4,VERIFIED_MAPPING,,14,2025
02,p203,VERIFIED_MAPPING,,22,2025
02,p203b,VERIFIED_MAPPING,,22,2025
02,p204,VERIFIED_MAPPING,,22,2025
02,p205,VERIFIED_MAPPING,,22,2025
02,p206,VERIFIED_MAPPING,,22,2025
02,p207,VERIFIED_MAPPING,,22,2025
02,p208a1,VERIFIED_MAPPING,,14,2017
02,p208b1,VERIFIED_MAPPING,,4,2011
02,p208c1,VERIFIED_MAPPING,,4,2011
02,p208d1,VERIFIED_MAPPING,,4,2011
02,p209,VERIFIED_MAPPING,,22,2025
02,p210,VERIFIED_MAPPING,,22,2025
02,p211,VERIFIED_MAPPING,,8,2011
02,p211a,VERIFIED_MAPPING,,14,2025
02,p217,VERIFIED_MAPPING,,21,2025
02,rama_3,VERIFIED_MAPPING,,8,2019
02,rama_4,VERIFIED_MAPPING,,8,2019
02,rama_r3,VERIFIED_MAPPING,,6,2025
02,rama_r4,VERIFIED_MAPPING,,6,2025
02,t211,VERIFIED_MAPPING,,22,2025
02,ticuest01,VERIFIED_MAPPING,,15,2025
02,tipocuestionario,VERIFIED_MAPPING,,2,2021
02,tipoentrevista,VERIFIED_MAPPING,,1,2020
34,dominio,VERIFIED_MAPPING,,22,2025
34,estrato,VERIFIED_MAPPING,,22,2025
34,estrsocial,VERIFIED_MAPPING,,12,2025
34,pobreza,VERIFIED_MAPPING,,22,2025
34,pobrezav,VERIFIED_MAPPING,,6,2025
34,tipocuestionario,VERIFIED_MAPPING,,1,2020
34,tipoentrevista,VERIFIED_MAPPING,,1,2020
