module,column,verdict,reason,years,ref_year
03,dominio,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2021, 2022]",22,
03,estrato,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2021, 2022]",22,
03,i307,VERIFIED_MAPPING,,1,2012
03,i308b1,VERIFIED_MAPPING,,1,2012
03,i308b2,VERIFIED_MAPPING,,1,2012
03,i308b3,VERIFIED_MAPPING,,1,2012
03,i308b4,VERIFIED_MAPPING,,1,2012
03,i308b5,VERIFIED_MAPPING,,1,2012
03,i313,VERIFIED_MAPPING,,1,2012
03,imputado,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2021, 2022]; observed codes without labels: {2014: [0]}",18,
03,nivel,VERIFIED_MAPPING,,1,2020
03,p203,UNRESOLVED_MAPPING,"years without value labels: [2008, 2009, 2010, 2011, 2012, 2013, 2014, 2017, 2018, 2021, 2022]; observed codes without labels: {2015: [8]}",22,
03,p204,UNRESOLVED_MAPPING,"years without value labels: [2008, 2009, 2010, 2011, 2012, 2013, 2014, 2017, 2018, 2021, 2022]",22,
03,p205,UNRESOLVED_MAPPING,"years without value labels: [2008, 2009, 2010, 2011, 2012, 2013, 2014, 2017, 2018, 2021, 2022]",22,
03,p206,UNRESOLVED_MAPPING,"years without value labels: [2008, 2009, 2010, 2011, 2012, 2013, 2014, 2017, 2018, 2021, 2022]",22,
03,p207,UNRESOLVED_MAPPING,"years without value labels: [2008, 2009, 2010, 2011, 2012, 2013, 2014, 2017, 2018, 2021, 2022]",22,
03,p209,UNRESOLVED_MAPPING,"years without value labels: [2008, 2009, 2010, 2011, 2012, 2013, 2014, 2017, 2018, 2021, 2022]",22,
03,p300a,UNRESOLVED_MAPPING,"years without value labels: [2005, 2006, 2017, 2018, 2021, 2022]; observed codes without labels: {2004: [9]}",22,
03,p301a,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2021, 2022]",22,
03,p301a0,UNRESOLVED_MAPPING,"years without value labels: [2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2017, 2018, 2021, 2022]",19,
03,p301a1,UNRESOLVED_MAPPING,"years without value labels: [2014, 2015, 2016, 2017, 2018, 2021, 2022]; observed codes without labels: {2007: [999999], 2008: [999999], 2009: [124446, 999999], 2010: [999999], 2011: [999999], 2012: [999999], 2013: [594156, 999999]}",19,
03,p301b0,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2021, 2022]",12,
03,p301b1,UNRESOLVED_MAPPING,"years without value labels: [2014, 2015, 2016, 2017, 2018, 2021, 2022]",12,
