module,column,verdict,reason,years,ref_year
07,dominio,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]",16,
07,estrato,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]",16,
07,p601a,UNRESOLVED_MAPPING,"years without value labels: [2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024]; observed codes without labels: {2025: [100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 300, 301, 302, 303, 304, 305, 306, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 500, 501, 502, 503, 504, 505, 506, 507, 508, 509, 510, 511, 600, 601, 602, 603, 604, 700, 701, 702, 703, 704, 705, 706, 707, 800, 801, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 813, 814, 815, 816, 817, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 911, 912, 913, 914, 1000, 1001, 1002, 1003, 1004, 1100, 1101, 1102, 1103, 1104, 1105, 1106, 1107, 1108, 1109, 1110, 1111, 1200, 1201, 1300, 1301, 1302, 1400, 1401, 1402, 1403, 1404, 1405, 1406, 1407, 1408, 1409, 1410, 1411, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420, 1421, 1500, 1501, 1502, 1503, 1504, 1505, 1506, 1507, 1508, 1509, 1510, 1600, 1601, 1602, 1603, 1604, 1605, 1606, 1607, 1608, 1609, 1610, 1611, 1612, 1613, 1614, 1615, 1616, 1617, 1700, 1701, 1702, 1703, 1704, 1705, 1800, 1801, 1802, 1803, 1804, 1805, 1806, 1807, 1808, 1809, 1900, 1901, 1902, 1903, 1904, 1905, 1906, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2100, 2101, 2102, 2103, 2104, 2105, 2106, 2107, 2108, 2200, 2201, 2202, 2203, 2204, 2205, 2206, 2207, 2300, 2303, 2304, 2305, 2306, 2307, 2308, 2400, 2401, 2402, 2403, 2404, 2405, 2406, 2407, 2408, 2500, 2501, 2502, 2503, 2600, 2601, 2602, 2603, 2700, 2701, 2702, 2703, 2704, 2800, 2801, 2802, 2803, 2804, 2900, 2901, 2902, 2903, 2904, 2905, 2906, 2907, 3000, 3001, 3002, 3003, 3004, 3005, 3006, 3007, 3008, 3009, 3010, 3011, 3012, 3013, 3014, 3015, 3016, 3017, 3018, 3019, 3020, 3021, 3022, 3023, 3024, 3025, 3026, 3027, 3028, 3029, 3030, 3100, 3101, 3102, 3103, 3104, 3105, 3106, 3107, 3108, 3109, 3110, 3111, 3112, 3200, 3201, 3202, 3203, 3204, 3300, 3301, 3302, 3303, 3304, 3400, 3401, 3402, 3403, 3404, 3405, 3500, 3501, 3502, 3503, 3504, 3600, 3601, 3602, 3603, 3604, 3605, 3606, 3607, 3608, 3609, 3700, 3701, 3702, 3703, 3704, 3705, 3706, 3707, 3708, 3709, 3710, 3711, 3712, 3713, 3714, 3715, 3716, 3717, 3718, 3719, 3720, 3721, 3722, 3723, 3724, 3725, 3726, 3727, 3728, 3729, 3800, 3801, 3802, 3803, 3900, 3901, 3902, 3903, 3904, 3905, 3906, 4000, 4001, 4002, 4003, 4004, 4005, 4006, 4007, 4008, 4100, 4101, 4102, 4103, 4104, 4105, 4106, 4107, 4108, 4109, 4110, 4111, 4112, 4113, 4114, 4115, 4116, 4117, 4118, 4119, 4120, 4121, 4122, 4123, 4124, 4125, 4126, 4127, 4128, 4200, 4201, 4202, 4203, 4204, 4205, 4206, 4207, 4208, 4209, 4210, 4211, 4212, 4213, 4214, 4215, 4216, 4217, 4300, 4301, 4302, 4303, 4304, 4305, 4306, 4307, 4308, 4400, 4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4500, 4501, 4502, 4600, 4601, 4602, 4603, 4604, 4605, 4606, 4607, 4608, 4609, 4700, 4701, 4702, 4703, 4704, 4705, 4706, 4707, 4708, 4709, 4710, 4711, 4712, 4713, 4714, 4715, 4716, 4717, 4800, 4801, 4802, 4803, 4804, 4805, 4806, 4807, 4808, 4809, 4810, 4811, 4812, 4813, 4900, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4913, 5000, 5001, 5002, 5003, 5004, 5005, 5006, 5007, 5008, 5009, 5010, 5011, 5012, 5013, 5014, 5015, 5016, 5017, 5018, 5019]}",16,
07,p601a1,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]",16,
07,p601a2,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]; observed codes without labels: {2007: [1], 2008: [1], 2009: [1], 2010: [1], 2011: [1], 2012: [0], 2014: [0], 2015: [0]}",16,
07,p601a3,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]; observed codes without labels: {2007: [1], 2008: [1], 2009: [1], 2010: [1], 2011: [1], 2012: [0], 2014: [0], 2015: [0]}",16,
07,p601a4,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]; observed codes without labels: {2007: [1], 2008: [1], 2009: [1], 2010: [1], 2011: [1], 2012: [0], 2014: [0], 2015: [0]}",16,
07,p601a5,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]; observed codes without labels: {2007: [1], 2008: [1], 2009: [1], 2010: [1], 2011: [1], 2012: [0], 2014: [0], 2015: [0]}",16,
07,p601a6,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]; observed codes without labels: {2007: [1], 2008: [1], 2009: [1], 2010: [1], 2011: [1], 2012: [0], 2014: [0], 2015: [0]}",16,
07,p601a7,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]; observed codes without labels: {2007: [1], 2008: [1], 2009: [1], 2010: [1], 2011: [1], 2012: [0], 2014: [0], 2015: [0]}",16,
07,p601b,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]",16,
07,p601b1,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]; observed codes without labels: {2015: [20]}",16,
07,p601b3,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]; observed codes without labels: {2020: [37]}",16,
07,p601b4,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]",16,
07,p601d1,UNRESOLVED_MAPPING,"years without value labels: [2004, 2006]",16,
