year,csv_code,module_name
2001,590-Modulo1201,Capítulo 01 para todos los sectores
2001,590-Modulo1202,Agencias de Viajes 2001 B
2001,590-Modulo1203,Agencias de Viajes 2001 B1
2001,590-Modulo1204,Agroindustria 2001 F
2001,590-Modulo1205,Agroindustria 2001 F1
2001,590-Modulo1206,Agroindustria 2001 F2
2001,590-Modulo1207,Educación 2001 U
2001,590-Modulo1208,Comercio Y Servicios 2001 F1
2001,590-Modulo1209,Comercio Y Servicios 2001 F2
2001,590-Modulo1210,Construcción 2001 F1
2001,590-Modulo1211,Construcción 2001 F2
2001,590-Modulo1212,Hospedaje 2001 A
2001,590-Modulo1213,Hospedaje 2001 A1
2001,590-Modulo1214,Hidrocarburos 2001 F1
2001,590-Modulo1215,Hidrocarburos 2001 F2
2001,590-Modulo1216,Hidrocarburos 2001 F3
2001,590-Modulo1217,Pesca 2001 A
2001,590-Modulo1218,Acuicultura 2001 U
2001,590-Modulo1219,Manufactura 2001 D
2001,590-Modulo1220,Manufactura 2001 D1
2001,590-Modulo1221,Manufactura 2001 D2
2001,590-Modulo1222,Servicios Electricos 2001 U
2001,590-Modulo1223,Transportes y Comunicaciones 2001 F1
2001,590-Modulo1224,Transportes y Comunicaciones 2001 F2
2001,590-Modulo1225,Universidades 2001 U
2002,585-Modulo1171,Capítulo 01 para todos los sectores
2002,585-Modulo1172,Agencias de Viajes 2002 B
2002,585-Modulo1173,Agencias de Viajes 2002 B1
2002,585-Modulo1174,Agroindustria 2002 F
2002,585-Modulo1175,Agroindustria 2002 F1
2002,585-Modulo1176,Agroindustria 2002 F2
2002,585-Modulo1177,Educación 2002 U
2002,585-Modulo1178,Comercio 2002 F1
2002,585-Modulo1179,Comercio 2002 F2
2002,585-Modulo1180,Construcción 2002 F1
2002,585-Modulo1181,Construcción 2002 F2
2002,585-Modulo1182,No Financieras 2002 U
2002,585-Modulo1183,Hospedaje 2002 A
2002,585-Modulo1184,Hospedaje 2002 A1
2002,585-Modulo1185,Hidrocarburos 2002 F1
2002,585-Modulo1186,Hidrocarburos 2002 F2
2002,585-Modulo1187,Hidrocarburos 2002 F3
2002,585-Modulo1188,Acuicultura 2002 U
2002,585-Modulo1189,Pesca 2002 A
2002,585-Modulo1190,Manufactura 2002 D
2002,585-Modulo1191,Manufactura 2002 D1
2002,585-Modulo1192,Manufactura 2002 D2
2002,585-Modulo1193,Servicios Electricos 2002 U
2002,585-Modulo1194,Transportes 2002 F1
2002,585-Modulo1195,Transportes 2002 F2
2002,585-Modulo1196,Universidades 2002 U
2003,581-Modulo1145,Capítulo 01 para todos los sectores
2003,581-Modulo1146,Agencias de Viajes 2003 B
2003,581-Modulo1147,Agencias de Viajes 2003 B1
2003,581-Modulo1148,Agroindustria 2003 F
2003,581-Modulo1149,Agroindustria 2003 F1
2003,581-Modulo1150,Agroindustria 2003 F2
2003,581-Modulo1151,Educación 2003 U
2003,581-Modulo1152,Comercio 2003 F1
2003,581-Modulo1153,Comercio 2003 F2
2003,581-Modulo1154,Construcción 2003 F1
2003,581-Modulo1155,Construcción 2003 F2
2003,581-Modulo1156,No Financieras 2003 U
2003,581-Modulo1157,Hospedaje 2003 A
2003,581-Modulo1158,Hospedaje 2003 A1
2003,581-Modulo1159,Hidrocarburos 2003 F1
2003,581-Modulo1160,Hidrocarburos 2003 F2
2003,581-Modulo1161,Hidrocarburos 2003 F3
2003,581-Modulo1162,Acuicultura 2003 A
2003,581-Modulo1163,Pesca 2003 P
2003,581-Modulo1164,Manufactura 2003 D
2003,581-Modulo1165,Manufactura 2003 D1
2003,581-Modulo1166,Manufactura 2003 D2
2003,581-Modulo1167,Servicios Electricos 2003 U
2003,581-Modulo1168,Transportes 2003 F1
2003,581-Modulo1169,Transportes 2003 F2
2003,581-Modulo1170,Universidades 2003 U
2004,530-Modulo1008,Capítulo 01 para todos los sectores
2004,530-Modulo1009,Agencias de Viajes 2004 B
2004,530-Modulo1010,Agencias de Viajes 2004 B1
2004,530-Modulo1011,Agroindustria 2004 F
2004,530-Modulo1012,Agroindustria 2004 F1
2004,530-Modulo1013,Agroindustria 2004 F2
2004,530-Modulo1014,Educación 2004 U
2004,530-Modulo1015,Comercio 2004 F1
2004,530-Modulo1016,Comercio 2004 F2
2004,530-Modulo1017,Construcción 2004 F1
2004,530-Modulo1018,Construcción 2004 F2
2004,530-Modulo1019,No Financieras 2004 U
2004,530-Modulo1020,Hospedaje 2004 A
2004,530-Modulo1021,Hospedaje 2004 A1
2004,530-Modulo1022,Hidrocarburos 2004 F1
2004,530-Modulo1023,Hidrocarburos 2004 F2
2004,530-Modulo1024,Hidrocarburos 2004 F3
2004,530-Modulo1025,Acuicultura 2004 A
2004,530-Modulo1026,Pesca 2004 P
2004,530-Modulo1027,Manufactura 2004 D
2004,530-Modulo1028,Manufactura 2004 D1
2004,530-Modulo1029,Manufactura 2004 D2
2004,530-Modulo1030,Servicios Electricos 2004 U
2004,530-Modulo1031,Transportes 2004 F1
2004,530-Modulo1032,Transportes 2004 F2
2004,530-Modulo1033,Universidades 2004 U
2005,517-Modulo899,Capítulo 01 para todos los sectores
2005,517-Modulo900,Agencia de Viajes 2005 B
2005,517-Modulo901,Agencia de Viajes 2005 B1
2005,517-Modulo902,Agroindustria 2005 F
2005,517-Modulo903,Agroindustria 2005 F1
2005,517-Modulo904,Agroindustria 2005 F2
2005,517-Modulo905,Educación 2005 U
2005,517-Modulo906,Comercio 2005 F1
2005,517-Modulo907,Comercio 2005 F2
2005,517-Modulo908,Construcción 2005 F1
2005,517-Modulo909,Construcción 2005 F2
2005,517-Modulo910,No Financieras 2005 U
2005,517-Modulo911,Hospedaje 2005 A
2005,517-Modulo912,Hospedaje 2005 A1
2005,517-Modulo913,Hidrocarburos 2005 F1
2005,517-Modulo914,Hidrocarburos 2005 F2
2005,517-Modulo915,Hidrocarburos 2005 F3
2005,517-Modulo916,Acuicultura 2005 A
2005,517-Modulo917,Pesca 2005 P
2005,517-Modulo918,Manufactura 2005 D
2005,517-Modulo919,Manufactura 2005 D1
2005,517-Modulo920,Manufactura 2005 D2
2005,517-Modulo921,Servicios Electricos 2005 U
2005,517-Modulo922,Transportes 2005 F1
2005,517-Modulo923,Transportes 2005 F2
2005,517-Modulo924,Universidades 2005 U
2006,513-Modulo865,Capítulo 01 para todos los sectores
2006,513-Modulo866,Agencia de Viajes 2006 B
2006,513-Modulo867,Agencia de Viajes 2006 B1
2006,513-Modulo868,Agroindustria 2006 F
2006,513-Modulo869,Agroindustria 2006 F1
2006,513-Modulo870,Agroindustria 2006 F2
2006,513-Modulo871,Educación 2006 U
2006,513-Modulo872,Comercio 2006 F1
2006,513-Modulo873,Comercio 2006 F2
2006,513-Modulo874,Construcción 2006 F1
2006,513-Modulo875,Construcción 2006 F2
2006,513-Modulo876,No Financieras 2006 U
2006,513-Modulo877,Hospedaje 2006 A
2006,513-Modulo878,Hospedaje 2006 A1
2006,513-Modulo879,Hidrocarburos 2006 F1
2006,513-Modulo880,Hidrocarburos 2006 F2
2006,513-Modulo881,Hidrocarburos 2006 F3
2006,513-Modulo882,Acuicultura 2006 A
2006,513-Modulo883,Pesca 2006 P
2006,513-Modulo884,Manufactura 2006 D
2006,513-Modulo885,Manufactura 2006 D1
2006,513-Modulo886,Manufactura 2006 D2
2006,513-Modulo887,Servicios Electricos 2006 U
2006,513-Modulo888,Transportes 2006 F1
2006,513-Modulo889,Transportes 2006 F2
2006,513-Modulo890,Universidades 2006 U
2006,513-Modulo891,Restaurantes 2006 J2
2006,513-Modulo892,Restaurantes 2006 R1
2006,513-Modulo893,Restaurantes 2006 R2
2007,507-Modulo810,Capítulo 01 para todos los sectores
2007,507-Modulo811,Agencia de Viajes B
2007,507-Modulo812,Agencia de Viajes B1
2007,507-Modulo813,Agroindustria F
2007,507-Modulo814,Agroindustria F1
2007,507-Modulo815,Agroindustria F2
2007,507-Modulo816,Educación 2007 U
2007,507-Modulo817,Comercio 2007 F1
2007,507-Modulo818,Comercio 2007 F2
2007,507-Modulo819,Construcción 2007 F1
2007,507-Modulo820,Construcción 2007 F2
2007,507-Modulo821,Hospedaje 2007 A
2007,507-Modulo822,Hospedaje 2007 A1
2007,507-Modulo823,Hidrocarburos 2007 F1
2007,507-Modulo824,EEA 08 Hidrocarburos F2
2007,507-Modulo825,EEA 08 Hidrocarburos F3
2007,507-Modulo826,Acuicultura A
2007,507-Modulo827,Pesca 2007 P
2007,507-Modulo828,Manufactura D
2007,507-Modulo829,Manufactura D1
2007,507-Modulo830,Manufactura D2
2007,507-Modulo831,Servicios Electricos U
2007,507-Modulo832,Transportes F1
2007,507-Modulo833,Transportes F2
2007,507-Modulo834,Universidades U
2007,507-Modulo835,Restaurantes J2
2007,507-Modulo836,Restaurantes R1
2007,507-Modulo837,Restaurantes R2
2008,394-Modulo345,Capítulo 01 para todos los sectores
2008,394-Modulo368,Agencia de Viajes U
2008,394-Modulo369,Agroindustrias U
2008,394-Modulo370,Centros Educativos no Estatale U
2008,394-Modulo371,Comercio U
2008,394-Modulo372,Construcción U
2008,394-Modulo373,Establecimientos de Hospedaje U
2008,394-Modulo374,Hidrocarburos F1
2008,394-Modulo375,Hidrocarburos F2
2008,394-Modulo376,Hidrocarburos F3
2008,394-Modulo377,Acuicultura A
2008,394-Modulo378,Pesca P
2008,394-Modulo379,Manufactura U
2008,394-Modulo380,Servicios Electricos U
2008,394-Modulo381,Transportes y Comunicaciones U
2008,394-Modulo382,Universidades no Estatales U
2008,394-Modulo383,Restaurantes U
2008,394-Modulo384,Servicios U
2008,394-Modulo385,MINERIA U
2009,395-Modulo345,Capítulo 01 para todos los sectores
2009,395-Modulo386,Agencia de Viajes B1
2009,395-Modulo387,Agroindustrias F2
2009,395-Modulo388,Centros Educativos no Estatale U
2009,395-Modulo389,Comercio F2
2009,395-Modulo390,Construcción F2
2009,395-Modulo391,Establecimientos de Hospedaje A1
2009,395-Modulo392,Hidrocarburos F1
2009,395-Modulo393,Hidrocarburos F2
2009,395-Modulo394,Hidrocarburos F3
2009,395-Modulo395,Acuicultura A
2009,395-Modulo396,Pesca P
2009,395-Modulo397,Manufactura D2
2009,395-Modulo398,Servicios Electricos U
2009,395-Modulo399,Transportes y Comunicaciones F2
2009,395-Modulo400,Universidades no Estatales U
2009,395-Modulo401,Restaurantes R2
2009,395-Modulo402,Servicios F2
2009,395-Modulo403,Agencia de Viajes B
2009,395-Modulo404,Agroindustrias M
2009,395-Modulo405,Comercio M
2009,395-Modulo406,Construcción  M
2009,395-Modulo407,Establecimientos de Hospedaje A
2009,395-Modulo408,Manufactura M
2009,395-Modulo409,Transportes y Comunicaciones M
2009,395-Modulo410,Restaurantes R1
2009,395-Modulo411,Servicios M
2010,396-Modulo345,Capítulo 01 para todos los sectores
2010,396-Modulo386,Agencia de Viajes B1
2010,396-Modulo387,Agroindustrias F2
2010,396-Modulo388,Centros Educativos no Estatale U
2010,396-Modulo389,Comercio F2
2010,396-Modulo390,Construcción F2
2010,396-Modulo391,Establecimientos de Hospedaje A1
2010,396-Modulo392,Hidrocarburos F1
2010,396-Modulo393,Hidrocarburos F2
2010,396-Modulo394,Hidrocarburos F3
2010,396-Modulo395,Acuicultura A
2010,396-Modulo396,Pesca P
2010,396-Modulo397,Manufactura D2
2010,396-Modulo398,Servicios Electricos U
2010,396-Modulo399,Transportes y Comunicaciones F2
2010,396-Modulo400,Universidades no Estatales U
2010,396-Modulo401,Restaurantes R2
2010,396-Modulo402,Servicios F2
2010,396-Modulo403,Agencia de Viajes B
2010,396-Modulo404,Agroindustrias M
2010,396-Modulo405,Comercio M
2010,396-Modulo406,Construcción  M
2010,396-Modulo407,Establecimientos de Hospedaje A
2010,396-Modulo408,Manufactura M
2010,396-Modulo409,Transportes y Comunicaciones M
2010,396-Modulo410,Restaurantes R1
2010,396-Modulo411,Servicios M
2011,397-Modulo345,Capítulo 01 para todos los sectores
2011,397-Modulo386,Agencia de Viajes B1
2011,397-Modulo387,Agroindustrias F2
2011,397-Modulo388,Centros Educativos no Estatale U
2011,397-Modulo389,Comercio F2
2011,397-Modulo390,Construcción F2
2011,397-Modulo391,Establecimientos de Hospedaje A1
2011,397-Modulo392,Hidrocarburos F1
2011,397-Modulo393,Hidrocarburos F2
2011,397-Modulo394,Hidrocarburos F3
2011,397-Modulo395,Acuicultura A
2011,397-Modulo396,Pesca P
2011,397-Modulo397,Manufactura D2
2011,397-Modulo398,Servicios Electricos U
2011,397-Modulo399,Transportes y Comunicaciones F2
2011,397-Modulo400,Universidades no Estatales U
2011,397-Modulo401,Restaurantes R2
2011,397-Modulo402,Servicios F2
2011,397-Modulo403,Agencia de Viajes B
2011,397-Modulo404,Agroindustrias M
2011,397-Modulo405,Comercio M
2011,397-Modulo406,Construcción  M
2011,397-Modulo407,Establecimientos de Hospedaje A
2011,397-Modulo408,Manufactura M
2011,397-Modulo409,Transportes y Comunicaciones M
2011,397-Modulo410,Restaurantes R1
2011,397-Modulo411,Servicios M
2012,398-Modulo345,Capítulo 01 para todos los sectores
2012,398-Modulo346,Agencia de Viajes B1
2012,398-Modulo347,Agroindustrias F2
2012,398-Modulo348,Centros Educativos no Estatale U
2012,398-Modulo349,Comercio F2
2012,398-Modulo350,Construcción F2
2012,398-Modulo351,Establecimientos de Hospedaje A1
2012,398-Modulo352,Hidrocarburos U
2012,398-Modulo353,Acuicultura A
2012,398-Modulo354,Pesca P
2012,398-Modulo355,Manufactura D2
2012,398-Modulo356,Servicios Electricos U
2012,398-Modulo357,Transportes y Comunicaciones F2
2012,398-Modulo358,Universidades no Estatales U
2012,398-Modulo359,Restaurantes R2
2012,398-Modulo360,Servicios F2
2012,398-Modulo361,Agroindustrias M
2012,398-Modulo362,Comercio M
2012,398-Modulo363,Construcción  M
2012,398-Modulo364,Manufactura M
2012,398-Modulo365,Transportes y Comunicaciones M
2012,398-Modulo366,Servicios M
2013,393-Modulo345,Capítulo 01 para todos los sectores
2013,393-Modulo346,Agencia de Viajes B1
2013,393-Modulo347,Agroindustrias F2
2013,393-Modulo348,Centros Educativos no Estatale U
2013,393-Modulo349,Comercio F2
2013,393-Modulo350,Construcción F2
2013,393-Modulo351,Establecimientos de Hospedaje A1
2013,393-Modulo352,Hidrocarburos U
2013,393-Modulo353,Acuicultura A
2013,393-Modulo354,Pesca P
2013,393-Modulo355,Manufactura D2
2013,393-Modulo356,Servicios Electricos U
2013,393-Modulo357,Transportes y Comunicaciones F2
2013,393-Modulo358,Universidades no Estatales U
2013,393-Modulo359,Restaurantes R2
2013,393-Modulo360,Servicios F2
2013,393-Modulo361,Agroindustrias M
2013,393-Modulo362,Comercio M
2013,393-Modulo363,Construcción  M
2013,393-Modulo364,Manufactura M
2013,393-Modulo365,Transportes y Comunicaciones M
2013,393-Modulo366,Servicios M
2014,451-Modulo1787,TICS para todos los sectores
2014,451-Modulo345,Capítulo 01 para todos los sectores
2014,451-Modulo346,Agencia de Viajes B1
2014,451-Modulo347,Agroindustrias F2
2014,451-Modulo348,Centros Educativos no Estatale U
2014,451-Modulo349,Comercio F2
2014,451-Modulo350,Construcción F2
2014,451-Modulo351,Establecimientos de Hospedaje A1
2014,451-Modulo352,Hidrocarburos U
