code,module,label
51,76,Epe Personas Ene-Feb-Mar 2002
54,76,Trim Feb-Mar-Abr - Personas 2002
56,76,Epe-Personas Mar-Abr-May 2002
57,76,Epe-Personas Trim Abr-May-Jun 2002
60,76,Epe-Personas May-Jun-Jul 2002
61,76,Epe-Personas Trim Jun-Jul-Ago 2002
62,76,Epe-Personas Trim Jul-Ago-Set 2002
63,76,Epe-Personas Trim Ago-Set-Oct-2002
65,76,Epe-Personas Ene-Feb-Mar-2004
66,76,Epe-Personas Trim Set-Oct-Nov-2002
67,76,Epe-Personas Trim Oct-Nov-Dic-2002
69,76,Epe-Personas Feb-Mar-Abr 2004
70,76,Epe-Personas Mar-Abr-May 2004
71,76,Epe-Personas Trim Nov-Dic-Ene 2003 
72,76,Epe-PanelMensual-Mar-Jun-Set-Dic-2002
73,76,Epe-Personas Abr-May-Jun2004
74,76,Epe-Personas May-Jun-Jul2004
75,76,Epe-Personas Jun-Jul-Ago2004
76,76,Jul_Ago_Set
77,76,Epe-PersonasPanel-Abr-Jul-Oct-Ene
78,76,Epe-PersonasPanel-May-Ago-Nov-Feb
79,76,Epe-Personas Trim Dic-Ene-Feb 2003 
84,76,Epe-Personas Trim Ene-Feb-Mar 2003
86,76,Epe-Personas Trim Feb-Mar-Abr 2003
87,76,Epe-Personas Trim Mar-Abr-May 2003
88,76,Epe-Personas Trim Abr-May-Jun 2003
89,76,Epe-Personas Trim May-Jun-Jul 2003
90,76,Epe-Personas Trim Jun-Jul-Ago 2003
92,76,Epe-Personas Trim Jul-Ago-Set 2003
93,76,Epe-Personas Trim Ago-Set-Oct 2003
94,76,Epe-Personas Trim Set-Oct-Nov 2003
95,76,Epe-Personas Trim Oct-Nov-Dic 2003
96,76,Epe-Personas Trim Nov03-Dic-Ene04
97,76,Epe-PanelMensual-Mar-Jun-Set-Dic-2002
98,76,Epe-PanelMensual-Abr-Jul-Oct-2002-Ene-2003
99,76,Epe-PanelMensual-May-Ago-Nov-2002-Feb-2003
509,76,Trim Mar-Abr-May16
514,76,Trim Abr-May-Jun16
519,76,Trim May-Jun-Jul16
527,76,Trim Jun-Jul-Ago16
531,76,Trim Jul-Ago-Set16
532,76,Trim Ago-Set-Oct16
535,76,Trim Set-Oct-Nov16
537,76,Trim Oct-Nov-Dic16
539,76,Trim Nov-Dic-Ene17
542,76,Trim Dic-Ene-Feb17
545,76,Trim Ene-Feb-Mar17
549,76,Trim Feb-Mar-Abr17
550,76,Trim Mar-Abr-May17
553,76,Trim Abr-May-Jun17
580,76,Trim May-Jun-Jul17
582,76,Trim Jun-Jul-Ago17
584,76,Trim Jul-Ago-Set17
586,76,Trim Ago-Set-Oct17
589,76,Trim Set-Oct-Nov17
591,76,Trim Oct-Nov-Dic17
593,76,Trim Nov-Dic-Ene18
598,76,Trim Dic-Ene-Feb18
601,76,Trim Ene-Feb-Mar18
604,76,Trim Feb-Mar-Abr18
606,76,Trim Mar-Abr-May18
610,76,Trim Abr-May-Jun18
613,76,Trim May-Jun-Jul18
616,76,Trim Jun-Jul-Ago18
618,76,Trim Jul-Ago-Set18
620,76,Trim Ago-Set-Oct18
621,76,Trim Set-Oct-Nov18
623,76,Trim Oct-Nov-Dic18
625,76,Trim Nov-Dic-Ene19
631,76,Trim Dic-Ene-Feb19
636,76,Trim Ene-Feb-Mar19
637,76,Trim Feb-Mar-Abr19
640,76,Trim Mar-Abr-May19
643,76,Trim Abr-May-Jun19
644,76,Trim May-Jun-Jul19
646,76,Trim Jun-Jul_Ago19
648,76,Trim Jul-Ago-Set19
649,76,Trim Ago-Set-Oct19
654,76,Trim Set-Oct-Nov19
655,76,Trim Oct-Nov-Dic19
657,76,Trim Nov-Dic-Ene20
686,76,Trim Dic-Ene-Feb20
688,76,Trim Ene-Feb-Mar20
689,76,Trim Feb-Mar-Abr20
692,76,Trim Mar-Abr-May20
