year,sector,formulario,chapter,clave,concepto
2024,01,F2,c02,01,Efectivo y equivalentes de efectivo
2024,01,F2,c02,02,Inversiones financieras
2024,01,F2,c02,03,Cuentas por cobrar comerciales - Terceros / Relacionadas
2024,01,F2,c02,04,"Cuentas por cobrar al personal, a los accionistas (socios) y directores (05+06)"
2024,01,F2,c02,05,Préstamos
2024,01,F2,c02,06,Otras cuentas por cobrar
2024,01,F2,c02,07,Cuentas por cobrar diversas terceros / Relacionadas(08+09)
2024,01,F2,c02,08,Préstamos
2024,01,F2,c02,09,al 169/173 al 179 Otras cuentas por cobrar
2024,01,F2,c02,10,Servicios y otros contratados por anticipado
2024,01,F2,c02,11,(-) Estimación de cuentas de cobranza dudosa
2024,01,F2,c02,13,Activos no corrientes mantenidos para la venta
2024,01,F2,c02,14,"Tributos - Créditos fiscal - Saldos a favor, entre otros"
2024,01,F2,c02,15,Anticipos a proveedores/Anticipos otorgados
2024,01,F2,c02,17,Cuentas por cobrar comerciales - Terceros / Relacionadas
2024,01,F2,c02,18,Inversiones mobiliarias (19+20+21)
2024,01,F2,c02,19,Inversiones a ser mantenidas hasta el vencimiento / Instrumentos financieros representativos de
2024,01,F2,c02,20,Instrumentos financieros representativos de derecho patrimonial / Acuerdo de compra
2024,01,F2,c02,21,Certificados de participación en fondos - Cuotas/Participaciones en acuerdos conjuntos
2024,01,F2,c02,22,Propiedades de Inversión
2024,01,F2,c02,23,(-) Depreciación acumulada propiedades de inversión
2024,01,F2,c02,24,Activos por derecho de uso
2024,01,F2,c02,25,(-) Depreciación acumulada propiedades de inversión - Arrendamiento financiero
2024,01,F2,c02,26,"(-) Depreciación acumulada propiedad, planta y equipo - Arrendamiento financiero"
2024,01,F2,c02,27,(-) Depreciación acumulada - Arrendamiento operativo
2024,01,F2,c02,28,"Propiedad, planta y equipo"
2024,01,F2,c02,29,"(-) Depreciación acumulada de propiedad, planta y equipo"
2024,01,F2,c02,30,Activos biológicos
2024,01,F2,c02,31,(-) Depreciación acumulada - Activos biológicos en producción
2024,01,F2,c02,32,(-) Desvalorización de activo inmovilizado
2024,01,F2,c02,33,Activo diferido
2024,01,F2,c02,34,Intangibles (35 al 37)
2024,01,F2,c02,35,"Concesiones, licencias y otros derechos"
2024,01,F2,c02,36,Patentes y propiedad industrial
2024,01,F2,c02,37,al 349 Otros activos intangibles
2024,01,F2,c02,38,(-) Amortización acumulada
2024,01,F2,c02,39,Otros activos
2024,01,F2,c02,40,"Tributos - Créditos fiscal - Saldos a favor, entre otros"
