canonical,kind,raw,year_start,year_end,recode,unit,level,status,note
year,rename,año,2004,2025,,year,person,confirmed,"raw name is non-ASCII (año). ABSENT IN 2004 AND 2006 in this module — verified across every downloaded vintage. It resolves to a marked all-NA column in those years, and dataset() fills the pooled `year` from the requested year anyway, so pooling never breaks on it."
month,rename,mes,2004,2025,,month,person,confirmed,
cluster,rename,conglome,2004,2025,,id,person,confirmed,"JOIN KEY 1/4. PADDING IS NOT STABLE ACROSS VINTAGES. Sumaria stores '0005' (zero-padded) while module 02 stores '   5' (space-padded) in the early years. SWEEP OF ALL 22 VINTAGES (raw vs strip+zero-fill merge, M34 x M02): a RAW merge silently collapses in 2004 (2.08% of households matched), 2005 (2.84%) and 2006 (3.22%). 2007-2025 match 100% raw. After normalization ALL 21 fetchable years match 100.00%. Normalization is ALWAYS ON and is idempotent on already-clean keys — never vintage-gated, because one INEI re-release would reopen the hole."
dwelling,rename,vivienda,2004,2025,,id,person,confirmed,JOIN KEY 2/4 — same padding warning as cluster
household,rename,hogar,2004,2025,,id,person,confirmed,JOIN KEY 3/4 — same padding warning as cluster
person,rename,codperso,2004,2025,,id,person,confirmed,"JOIN KEY 4/4 (person). Same padding trap: 2004 stores ' 1', 2025 stores '01'. Unique within household in every year tested (0 duplicates)."
ubigeo,rename,ubigeo,2004,2025,,id,person,confirmed,INEI ubigeo (never merge against ONPE ubigeo)
relationship,rename,p203,2004,2025,,code,person,confirmed,"CONFIRMED from INEI's own value labels in the .dta: 0=Panel 1=Jefe/Jefa 2=Esposo(a) 3=Hijo(a)/Hijastro(a) 4=Yerno/Nuera 5=Nieto(a) 6=Padres/Suegros 7=Otros parientes 8=Trabajador Hogar 9=Pensionista 10=Otros no parientes 11=Hermano(a). CODE 0 IS 'Panel' — a panel-sample marker, NOT a relationship, which is exactly why those 4,473 rows in 2025 carry a null p204. Do not treat 0 as a family tie."
habitual_resident,rename,p204,2004,2025,,code,person,confirmed,"1 = habitual resident (miembro del hogar), 2 = not. THIS is what defines household membership, not the relationship code."
hh_member,derive,p204,2004,2025,p204 == 1,bool,person,confirmed,"THE MEMBERSHIP FLAG. CONFIRMED ACROSS EVERY VINTAGE: after key normalization, counting rows with p204==1 reproduces the official welfare population in ALL 21 fetchable years 2004-2025, with a residual of 0 to 4 persons (pure rounding) in every single year. 2025: 34,856,707, diff +0. It is NOT an exclusion of domestic workers/pensionistas — p203==8 is 54 rows in 2025 and p203==9 is zero. Non-members are non-habitual residents (p204==2) plus the undocumented p203==0 rows."
absent_30d,rename,p205,2004,2025,,code,person,confirmed,"CONFIRMED from INEI's value labels: 'Se encuentra ausente del hogar 30 dias o mas' (1=Si, 2=No). It is NOT the membership rule — filtering on p205==2 reconciles only 95.88% of households, while p204==1 reconciles 100%. Membership is p204; this is a separate absence flag."
sex,rename,p207,2004,2025,,code,person,confirmed,"1=male, 2=female. Stable across vintages."
age_years,rename,p208a,2004,2025,,years,person,confirmed,age in completed years (observed range 0-98)
weight_resident,rename,facpob07,2004,2025,,weight,person,confirmed,"DE FACTO population weight. facpob07 is EXACTLY factor07 repeated on each person row (mean |facpob07 - factor07| = 0.0000). Summed over ALL roster rows it gives the de facto resident population: 37,130,092 in 2025 — 6.5% ABOVE the official figure. Correct only if you genuinely want every person physically in the dwelling."
weight_person_welfare,derive,facpob07;p204,2004,2025,facpob07 where p204 == 1 else NA,weight,person,confirmed,"THE WELFARE PERSON WEIGHT — the one that matches what INEI publishes. Reproduces the official population exactly (2025: 34,856,707). Use this for any person-level statistic you intend to compare against an INEI number. The two weights are named apart on purpose: picking the wrong one silently moves the population by 2.3 million people."
