module,column,year,code,label,status,evidence
34,estrsocial,2016,6,rural,verified,"2016 INEI dictionary omits code 6 and incorrectly states range 1-5; 2016 INEI quality report defines A-E for urban and rural separately; in all 36,785 released Sumaria records estrsocial=6 iff estrato is rural (6/7/8), zero mismatches; 2017 INEI dictionary explicitly defines 6=RURAL"
02,dominio,2006,1,Costa Norte,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,dominio,2006,2,Costa Centro,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,dominio,2006,3,Costa Sur,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,dominio,2006,4,Sierra Norte,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,dominio,2006,5,Sierra Centro,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,dominio,2006,6,Sierra Sur,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,dominio,2006,7,Selva,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,dominio,2006,8,Lima Metropolitana,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,estrato,2006,1,"Centros poblados de más de 100,000 viviendas",verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,estrato,2006,2,"Centros poblados de 20,001 a 100,000 viviendas",verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,estrato,2006,3,"Centros poblados de 10,001 a 20,000 viviendas",verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,estrato,2006,4,"Centros poblados de 4,001 a 10,000 viviendas",verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
02,estrato,2006,5,"Centros poblados de 401 a 4,000 viviendas",verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift"
