variable,code,label,source_year
b0,0,Nacimiento único,2024
b0,1,1ero. de nacimiento múltiple,2024
b0,2,2do. de nacimineto múltipe,2024
b0,3,3ero. de nacimiento múltiple,2024
b0,4,4to. de nacimiento múltiple,2024
b0,5,5to. de nacimiento múltiple,2024
b10,1,Mes y año,2024
b10,2,Mes y edad - año imputado,2024
b10,3,Año y edad - mes imputado,2024
b10,4,Año y edad - año ignorado,2024
b10,5,"Año - edad, mes imputado",2024
b10,6,"Edad - año, mes imputado",2024
b10,7,"Mes - edad, año imputado",2024
b10,8,Ninguno - todos imputados,2024
b13,0,Sin bandera,2024
b13,1,entrevista,2024
b13,2,lactancia,2024
b13,3,edad suplementada,2024
b13,4,primeramente amamantado,2024
b13,5,última vacunación,2024
b13,6,Rango exterior,2024
b13,7,"Imputación, unidades dadas",2024
b13,8,"Imputado, no hay unidades",2024
b15,0,No,2024
b15,1,Sí,2024
b16,0,No  listado en el hogar,2024
b4,1,Masculino,2024
b4,2,Femenino,2024
b5,0,No,2024
b5,1,Sí,2024
b6,997,Inconsistente,2024
b6,998,No sabe,2024
b9,0,Entrevistada,2024
b9,1,Padre,2024
b9,2,Otro pariente,2024
b9,3,Alguien más,2024
b9,4,Vive en otro lugar,2024
bd,98,No sabe,2024
control_s,1,Iniciar seccion 1 cuest de Salud,2019
control_s,2,Ir a seccion 9,2019
d101a,0,No,2024
d101a,1,Si,2024
d101a,8,No sabe,2024
d101b,0,No,2024
d101b,1,Si,2024
d101b,8,No sabe,2024
d101c,0,No,2024
d101c,1,Si,2024
d101c,8,No sabe,2024
d101d,0,No,2024
d101d,1,Si,2024
d101d,8,No sabe,2024
d101e,0,No,2024
d101e,1,Si,2024
d101e,8,No sabe,2024
d101f,0,No,2024
d101f,1,Si,2024
d101f,8,No sabe,2024
d101g,0,No,2024
d101g,1,Si,2024
d101g,8,No sabe,2024
d101h,0,No,2024
d101h,1,Si,2024
d101h,8,No sabe,2024
d101i,0,No,2024
d101i,1,Si,2024
d101i,8,No sabe,2024
d101j,0,No,2024
d101j,1,Si,2024
d101j,8,No sabe,2024
d103a,0,No,2024
d103a,1,Frecuentemente,2024
d103a,2,Algunas veces,2024
d103a,3,Nunca,2024
d103a,4,"Yes, widow/frequency missing",2013
d103b,0,No,2024
d103b,1,Frecuentemente,2024
d103b,2,Algunas veces,2024
d103b,3,Nunca,2024
d103b,4,"Yes, widow/frequency missing",2013
d103c,0,No,2024
d103c,1,Frecuentemente,2024
d103c,2,Algunas veces,2024
d103c,3,Nunca,2024
d103c,4,"Yes, widow/frequency missing",2013
d103d,0,No,2024
d103d,1,Frecuentemente,2024
d103d,2,Algunas veces,2024
d103d,3,Nunca,2024
d103d,4,"Yes, widow/frequency missing",2013
d103e,0,No,2024
d103e,1,Frecuentemente,2024
d103e,2,Algunas veces,2024
d103e,3,Nunca,2024
d103e,4,"Yes, widow/frequency missing",2013
d103f,0,No,2024
d103f,1,Frecuentemente,2024
d103f,2,Algunas veces,2024
d103f,3,Nunca,2024
d103f,4,"Yes, widow/frequency missing",2013
d104,0,No,2024
d104,1,Si,2024
d105a,0,No,2024
d105a,1,Frecuentemente,2024
d105a,2,Algunas veces,2024
d105a,3,Nunca,2024
d105a,4,"Yes, widow/frequency missing",2013
d105b,0,No,2024
d105b,1,Frecuentemente,2024
d105b,2,Algunas veces,2024
d105b,3,Nunca,2024
d105b,4,"Yes, widow/frequency missing",2013
d105c,0,No,2024
d105c,1,Frecuentemente,2024
d105c,2,Algunas veces,2024
d105c,3,Nunca,2024
d105c,4,"Yes, widow/frequency missing",2013
d105d,0,No,2024
d105d,1,Frecuentemente,2024
d105d,2,Algunas veces,2024
d105d,3,Nunca,2024
d105d,4,"Yes, widow/frequency missing",2013
d105e,0,No,2024
d105e,1,Frecuentemente,2024
d105e,2,Algunas veces,2024
d105e,3,Nunca,2024
d105e,4,"Yes, widow/frequency missing",2013
d105f,0,No,2024
d105f,1,Frecuentemente,2024
d105f,2,Algunas veces,2024
d105f,3,Nunca,2024
d105f,4,"Yes, widow/frequency missing",2013
d105g,0,No,2024
d105g,1,Frecuentemente,2024
d105g,2,Algunas veces,2024
d105g,3,Nunca,2024
d105g,4,"Yes, widow/frequency missing",2013
d105h,0,No,2024
d105h,1,Frecuentemente,2024
d105h,2,Algunas veces,2024
d105h,3,Nunca,2024
d105h,4,"Yes, widow/frequency missing",2013
d105i,0,No,2024
d105i,1,Frecuentemente,2024
d105i,2,Algunas veces,2024
d105i,3,Nunca,2024
d105i,4,"Yes, widow/frequency missing",2013
d105j,0,No,2024
d105j,1,Frecuentemente,2024
d105j,2,Algunas veces,2024
d105j,3,Nunca,2024
d105j,4,"Yes, widow/frequency missing",2013
d105k,0,No,2024
d105k,1,Frecuentemente,2024
d105k,2,Algunas veces,2024
d105k,3,Nunca,2024
d105k,4,"Yes, widow/frequency missing",2013
d105l,0,No,2024
d105l,1,Frecuentemente,2024
d105l,2,Algunas veces,2024
d105l,3,Nunca,2024
d105l,4,"Yes, widow/frequency missing",2013
d105m,0,No,2024
d105m,1,Frecuentemente,2024
d105m,2,Algunas veces,2024
d105m,3,Nunca,2024
d105m,4,"Yes, widow/frequency missing",2013
d105n,0,No,2024
d105n,1,Frecuentemente,2024
d105n,2,Algunas veces,2024
d105n,3,Nunca,2024
d105n,4,"Yes, widow/frequency missing",2013
d106,0,No,2024
d106,1,"Si (D105 A, B, C o D)",2024
d107,0,No,2024
d107,1,"Si (D105 E, F o G)",2024
d108,0,No,2024
d108,1,Si (D105 H o I),2024
d109,95,Antes de la union,2024
d109,96,Después de la separación/divorcio,2024
d109,98,No sabe,2024
d110a,0,No,2024
d110a,1,Si,2024
d110b,0,No,2024
d110b,1,Si,2024
d110c,0,No,2024
d110c,1,Si,2024
d110d,0,No,2024
d110d,1,Si,2024
d110e,0,No,2024
d110e,1,Si,2024
d110f,0,No,2024
d110f,1,Si,2024
d110g,0,No,2024
d110g,1,Si,2024
d110h,0,No,2024
d110h,1,Si,2024
d111,0,No,2024
d111,1,Si (D110A-C),2024
d112,0,No,2024
d112,1,Si,2024
d112a,0,Nunca,2024
d112a,1,Mucha frecuencia,2024
d112a,2,Algunas veces,2024
d112a,8,No sabe,2024
d113,0,No,2024
d113,1,Si,2024
d114,0,Nunca,2024
d114,1,Mucha frecuencia,2024
d114,2,Algunas veces,2024
d115b,0,No,2024
d115b,1,Sí,2024
d115b,8,No respondio,2024
d115c,0,No,2024
d115c,1,Sí,2024
d115c,8,No respondio,2024
d115d,0,No,2024
d115d,1,Sí,2024
d115d,8,No respondio,2024
d115e,0,No,2024
d115e,1,Sí,2024
d115e,8,No respondio,2024
d115f,0,No,2024
d115f,1,Sí,2024
d115f,8,No respondio,2024
d115g,0,No,2024
d115g,1,Sí,2024
d115g,8,No respondio,2024
d115h,0,No,2024
d115h,1,Sí,2024
d115h,8,No respondio,2024
d115i,0,No,2024
d115i,1,Sí,2024
d115i,8,No respondio,2024
d115j,0,No,2024
d115j,1,Sí,2024
d115j,8,No respondio,2024
d115k,0,No,2024
d115k,1,Sí,2024
d115k,8,No respondio,2024
d115l,0,No,2024
d115l,1,Sí,2024
d115l,8,No respondio,2024
d115m,0,No,2024
d115m,1,Sí,2024
d115m,8,No respondio,2024
d115n,0,No,2024
d115n,1,Sí,2024
d115n,8,No respondio,2024
d115o,0,No,2024
d115o,1,Sí,2024
d115o,8,No respondio,2024
d115p,0,No,2024
d115p,1,Sí,2024
d115p,8,No respondio,2024
d115q,0,No,2024
d115q,1,Sí,2024
d115q,8,No respondio,2024
d115r,0,No,2024
d115r,1,Sí,2024
d115r,8,No respondio,2024
d115s,0,No,2024
d115s,1,Sí,2024
d115s,8,No respondio,2024
d115t,0,No,2024
d115t,1,Sí,2024
d115t,8,No respondio,2024
d115u,0,No,2024
d115u,1,Sí,2024
d115u,8,No respondio,2024
d115v,0,No,2024
d115v,1,Sí,2024
d115v,8,No respondio,2024
d115w,0,No,2024
d115w,1,Sí,2024
d115w,8,No respondio,2024
d115x,0,No,2024
d115x,1,Sí,2024
d115x,8,No respondio,2024
d115xa,0,No,2024
d115xa,1,Sí,2024
d115xa,8,No respondio,2024
d115xb,0,No,2024
d115xb,1,Sí,2024
d115xb,8,No respondio,2024
d115xc,0,No,2024
d115xc,1,Sí,2024
d115xc,8,No respondio,2024
d115xd,0,No,2024
d115xd,1,Sí,2024
d115xd,8,No respondio,2024
d115xe,0,No,2024
d115xe,1,Sí,2024
d115xe,8,No respondio,2024
d115xf,0,No,2024
d115xf,1,Sí,2024
d115xf,8,No respondio,2024
d115xg,0,No,2024
d115xg,1,Sí,2024
d115xg,8,No respondio,2024
d115xh,0,No,2024
d115xh,1,Sí,2024
d115xh,8,No respondio,2024
d115xi,0,No,2024
d115xi,1,Sí,2024
