variable,code,year,was,canonical
b0,4,2013,4th of multiple,4to. de nacimiento múltiple
b0,5,2013,5th of multiple,5to. de nacimiento múltiple
b0,2,2013,2nd of multiple,2do. de nacimineto múltipe
b0,3,2013,3rd of multiple,3ero. de nacimiento múltiple
b0,0,2013,Single birth,Nacimiento único
b0,1,2013,1st of multiple,1ero. de nacimiento múltiple
b10,4,2013,Y & age - y ignored,Año y edad - año ignorado
b10,5,2013,"Year - a, m imp","Año - edad, mes imputado"
b10,6,2013,"Age - y, m imp","Edad - año, mes imputado"
b10,7,2013,"Month - a, y imp","Mes - edad, año imputado"
b10,2,2013,Month and age -y imp,Mes y edad - año imputado
b10,8,2013,None - all imp,Ninguno - todos imputados
b10,3,2013,Year and age - m imp,Año y edad - mes imputado
b10,1,2013,Month and year,Mes y año
b13,4,2013,< first breastfed,primeramente amamantado
b13,5,2013,< last vaccination,última vacunación
b13,6,2013,Outside range,Rango exterior
b13,7,2013,"Imputed, units given","Imputación, unidades dadas"
b13,2,2013,< breastfeeding,lactancia
b13,8,2013,"Imputed, no units","Imputado, no hay unidades"
b13,3,2013,< age supplemented,edad suplementada
b13,0,2013,No flag,Sin bandera
b13,1,2013,> interview,entrevista
b15,1,2013,Yes,Sí
b16,0,2013,Not listed in household,No  listado en el hogar
b4,2,2013,Female,Femenino
b4,1,2013,Male,Masculino
b5,1,2013,Yes,Sí
b6,998,2013,Don't know,No sabe
b6,997,2013,Inconsistent,Inconsistente
b9,4,2013,Lives elsewhere,Vive en otro lugar
b9,2,2013,Other relative,Otro pariente
b9,3,2013,Someone else,Alguien más
b9,0,2013,Respondent,Entrevistada
b9,1,2013,Father,Padre
d101a,1,2013,Yes,Si
d101a,8,2013,DK,No sabe
d101b,1,2013,Yes,Si
d101b,8,2013,DK,No sabe
d101c,1,2013,Yes,Si
d101c,8,2013,DK,No sabe
d101d,1,2013,Yes,Si
d101d,8,2013,DK,No sabe
d101e,1,2013,Yes,Si
d101e,8,2013,DK,No sabe
d101f,1,2013,Yes,Si
d101f,8,2013,DK,No sabe
d101g,1,2013,Yes,Si
d101g,8,2013,DK,No sabe
d101h,1,2013,Yes,Si
d101h,8,2013,DK,No sabe
d101i,1,2013,Yes,Si
d101i,8,2013,DK,No sabe
d101j,1,2013,Yes,Si
d101j,8,2013,DK,No sabe
d103a,2,2013,Sometimes,Algunas veces
d103a,3,2013,Not at all,Nunca
d103a,1,2013,often,Frecuentemente
d103b,2,2013,Sometimes,Algunas veces
d103b,3,2013,Not at all,Nunca
d103b,1,2013,often,Frecuentemente
d103c,2,2013,Sometimes,Algunas veces
d103c,3,2013,Not at all,Nunca
d103c,1,2013,often,Frecuentemente
d103d,2,2013,Sometimes,Algunas veces
d103d,3,2013,Not at all,Nunca
d103d,1,2013,often,Frecuentemente
d103e,2,2013,Sometimes,Algunas veces
d103e,3,2013,Not at all,Nunca
d103e,1,2013,often,Frecuentemente
d103f,2,2013,Sometimes,Algunas veces
d103f,3,2013,Not at all,Nunca
d103f,1,2013,often,Frecuentemente
d104,1,2013,Yes,Si
d105a,2,2013,Sometimes,Algunas veces
d105a,3,2013,Not at all,Nunca
d105a,1,2013,often,Frecuentemente
d105b,2,2013,Sometimes,Algunas veces
d105b,3,2013,Not at all,Nunca
d105b,1,2013,often,Frecuentemente
d105c,2,2013,Sometimes,Algunas veces
d105c,3,2013,Not at all,Nunca
d105c,1,2013,often,Frecuentemente
d105d,2,2013,Sometimes,Algunas veces
d105d,3,2013,Not at all,Nunca
d105d,1,2013,often,Frecuentemente
d105e,2,2013,Sometimes,Algunas veces
d105e,3,2013,Not at all,Nunca
d105e,1,2013,often,Frecuentemente
d105f,2,2013,Sometimes,Algunas veces
d105f,3,2013,Not at all,Nunca
d105f,1,2013,often,Frecuentemente
d105g,2,2013,Sometimes,Algunas veces
d105g,3,2013,Not at all,Nunca
d105g,1,2013,often,Frecuentemente
d105h,2,2013,Sometimes,Algunas veces
d105h,3,2013,Not at all,Nunca
d105h,1,2013,often,Frecuentemente
d105i,2,2013,Sometimes,Algunas veces
d105i,3,2013,Not at all,Nunca
d105i,1,2013,often,Frecuentemente
d105j,2,2013,Sometimes,Algunas veces
d105j,3,2013,Not at all,Nunca
d105j,1,2013,often,Frecuentemente
d105k,2,2013,Sometimes,Algunas veces
d105k,3,2013,Not at all,Nunca
d105k,1,2013,often,Frecuentemente
d105l,2,2013,Sometimes,Algunas veces
d105l,3,2013,Not at all,Nunca
d105l,1,2013,often,Frecuentemente
d105m,2,2013,Sometimes,Algunas veces
d105m,3,2013,Not at all,Nunca
d105m,1,2013,often,Frecuentemente
d105n,2,2013,Sometimes,Algunas veces
d105n,3,2013,Not at all,Nunca
d105n,1,2013,often,Frecuentemente
d106,1,2013,Yes (D105A-D),"Si (D105 A, B, C o D)"
d107,1,2013,Yes (D105E-G),"Si (D105 E, F o G)"
d108,1,2013,Yes (D105H-I),Si (D105 H o I)
d109,96,2013,After separation/divorce,Después de la separación/divorcio
d109,95,2013,Before union,Antes de la union
d109,98,2013,Don't know,No sabe
d110a,1,2013,Yes,Si
d110b,1,2013,Yes,Si
d110c,1,2013,Yes,Si
d110d,1,2013,Yes,Si
d110e,1,2013,Yes,Si
d110f,1,2013,Yes,Si
d110g,1,2013,Yes,Si
d110h,1,2013,Yes,Si
d111,1,2013,Yes (D110A-C),Si (D110A-C)
d112,1,2013,Yes,Si
d112a,1,2013,Often,Mucha frecuencia
d112a,2,2013,Sometimes,Algunas veces
d112a,0,2013,Not at all,Nunca
d112a,8,2013,DK,No sabe
d113,1,2013,Yes,Si
d114,2,2013,Sometimes,Algunas veces
d114,0,2013,Never,Nunca
d114,1,2013,Often,Mucha frecuencia
d115b,1,2013,Yes,Sí
d115b,8,2013,Didn't respond,No respondio
d115c,1,2013,Yes,Sí
d115c,8,2013,Didn't respond,No respondio
d115d,1,2013,Yes,Sí
d115d,8,2013,Didn't respond,No respondio
d115e,1,2013,Yes,Sí
d115e,8,2013,Didn't respond,No respondio
d115f,1,2013,Yes,Sí
d115f,8,2013,Didn't respond,No respondio
d115g,1,2013,Yes,Sí
d115g,8,2013,Didn't respond,No respondio
d115h,1,2013,Yes,Sí
d115h,8,2013,Didn't respond,No respondio
d115i,1,2013,Yes,Sí
d115i,8,2013,Didn't respond,No respondio
d115j,1,2013,Yes,Sí
d115j,8,2013,Didn't respond,No respondio
d115k,1,2013,Yes,Sí
d115k,8,2013,Didn't respond,No respondio
d115l,1,2013,Yes,Sí
d115l,8,2013,Didn't respond,No respondio
d115m,1,2013,Yes,Sí
d115m,8,2013,Didn't respond,No respondio
d115n,1,2013,Yes,Sí
d115n,8,2013,Didn't respond,No respondio
d115o,1,2013,Yes,Sí
d115o,8,2013,Didn't respond,No respondio
d115p,1,2013,Yes,Sí
d115p,8,2013,Didn't respond,No respondio
d115q,1,2013,Yes,Sí
d115q,8,2013,Didn't respond,No respondio
d115r,1,2013,Yes,Sí
d115r,8,2013,Didn't respond,No respondio
d115s,1,2013,Yes,Sí
d115s,8,2013,Didn't respond,No respondio
d115t,1,2013,Yes,Sí
d115t,8,2013,Didn't respond,No respondio
d115u,1,2013,Yes,Sí
d115u,8,2013,Didn't respond,No respondio
d115v,1,2013,Yes,Sí
d115v,8,2013,Didn't respond,No respondio
d115w,1,2013,Yes,Sí
d115w,8,2013,Didn't respond,No respondio
d115x,1,2013,Yes,Sí
d115x,8,2013,Didn't respond,No respondio
d115xa,1,2013,Yes,Sí
d115xa,8,2013,Didn't respond,No respondio
d115xb,1,2013,Yes,Sí
d115xb,8,2013,Didn't respond,No respondio
d115xc,1,2013,Yes,Sí
d115xc,8,2013,Didn't respond,No respondio
d115xd,1,2013,Yes,Sí
d115xd,8,2013,Didn't respond,No respondio
d115xe,1,2013,Yes,Sí
d115xe,8,2013,Didn't respond,No respondio
d115xf,1,2013,Yes,Sí
d115xf,8,2013,Didn't respond,No respondio
d115xg,1,2013,Yes,Sí
d115xg,8,2013,Didn't respond,No respondio
d115xh,1,2013,Yes,Sí
d115xh,8,2013,Didn't respond,No respondio
d115xi,1,2013,Yes,Sí
d115xi,8,2013,Didn't respond,No respondio
d115xj,1,2013,Yes,Sí
d115xj,8,2013,Didn't respond,No respondio
d115xk,1,2013,Yes,Sí
d115xk,8,2013,Didn't respond,No respondio
d115y,1,2013,No one ever physically hurt her,Nadie la lastimó físicamente
d115y,0,2013,Someone physically hurt her,Alguien la lastimó físicamente
d115y,8,2013,Didn't respond,No respondio
d116,17,2013,"Male friend, acquaintance",Amigo/conocido
d116,5,2013,Sister,Hermana
d116,19,2013,Employer,Empleador(a)
d116,96,2013,Other,Otra
d116,1,2013,Mother,Madre
d116,8,2013,Son,Hijo
d116,4,2013,Step father,Padrastro
d116,20,2013,Stranger,Extraño(a)
d116,7,2013,Daughter,Hija
d116,16,2013,"Female friend, acquaintance",Amiga/conocida
d116,18,2013,Teacher,Maestro(a)/Profesor(a)
d116,10,2013,Mother-in-law,Suegra
d116,6,2013,Brother,Hermano
d116,12,2013,Other female in-law,Otro familiar femenino del esposo
d116,11,2013,Father-in-law,Suegro
d116,14,2013,Other female relative,Otro pariente femenino
d116,13,2013,Other male in-law,Otro familiar masculino del esposo
d116,15,2013,Other male relative,Otro pariente masculino
d116,2,2013,Father,Padre
d116,9,2013,Former partner,Ex-esposo/ex-compañero
d116,3,2013,Step mother,Madrastra
d117a,2,2013,Sometimes,Algunas veces
d117a,0,2013,Not at all,De ningún modo
d117a,1,2013,Often,A menudo
d118a,1,2013,Yes,Si
d118b,1,2013,Yes,Si
d118c,1,2013,Yes,Si
d118d,1,2013,Yes,Si
