variable,code,label,n_files,n_variants
adecemp,1,Adecuadamente empleada,1,1
adecemp,2,No Adecuadamente Empleada,1,1
adecempleada,1,POB ADEC EMPLEADA,1,1
area,1,Lima,2,1
area,2,Callao,2,1
asalariado,1,Asalariado,1,1
asalariado,2,No asalariado,1,1
asalariado1,1,ASALARIADO,1,1
bienes,1,Bienes,1,1
bienser,1,Bienes,1,1
bienser,2,Servicios,1,1
categ,1,Independiente,1,1
categ,2,Dependiente,1,1
categ,3,Trabaj fam. no remunerado,1,1
condactiv,1,PEA,1,1
condactiv,2,NOPEA,1,1
cono,1,Cono Norte,1,1
cono,2,Cono Este,1,1
cono,3,Cono Centro,1,1
cono,4,Cono Sur,1,1
cono,5,Provincia Constitucional del Callao,1,1
desocaspirante,1,DESOC. ASPIRANTE,1,1
desoccesante,1,DESOC. CESANTE,1,1
desocup,1,Aspirante,1,1
desocup,2,Cesante,1,1
desocupa,1,Aspirante,1,1
desocupa,2,Cesante,1,1
desocupado1,1,DESOCUPADO,1,1
dominio,1,Costa Norte,42,1
dominio,2,Costa Centro,42,1
dominio,3,Costa Sur,42,1
dominio,4,Sierra Norte,42,1
dominio,5,Sierra Centro,42,1
dominio,6,Sierra Sur,42,1
dominio,7,Selva,42,1
dominio,8,Lima Metropolitana,42,1
edadem,1,De 14 a 24 años,1,1
edadem,2,De 25 a 44 años,1,1
edadem,3,De 45 y más años,1,1
estrato,1,Ciudades Capitales (Urbano),42,1
estrato,2,Grandes Ciudades   (Urbano),42,1
estrato,3,CCPP de mas de 2000 Habitantes (Urbano),42,2
estrato,4,CCPP DE 500  a 2000 Habitantes (Rural),42,1
estrato,5,Area Rural,42,1
filter_$,0,Not Selected,2,1
filter_$,1,Selected,2,1
gedad1,1,De 0 a 13 años,1,1
gedad1,2,De 14 a 24 años,1,1
gedad1,3,De 25 a 44 años,1,1
gedad1,4,De 45 y más años,1,1
gocup,1,"Funcionarios, gerentes y profesionales",1,1
gocup,10,Otro,1,1
gocup,2,Empleados de oficina,1,1
gocup,3,Técnicos y trabajadores asimilados,1,1
gocup,4,Trabajadores de servicios personales,1,1
gocup,5,"Obreros de manufactureras, construcción y minas",1,1
gocup,6,Conductores de medios de transporte,1,1
gocup,7,Vendedor ambulante,1,1
gocup,8,Trabajadores no calificados,1,1
gocup,9,Trabajadores del hogar,1,1
horasmens,1,Horas mensuales - Incluye a los trabaj famil no remuner y practicantes,1,1
horasmens1,1,Horas mensuales - No incluye a los trab famil no remuner y practicantes,1,1
horasmens2,1,Horas mensuales - Incluye a los trab famil no remuner y practicantes y no incluye la pob ocupada cuyos ingresos totales,1,1
horasmens3,1,Horas mensuales - Incluye a los trab famil no remuner y practicantes y no incluye la pob ocupada cuyos ingresos principa,1,1
horasmens4,1,Horas mensuales - No Incluye a los trab famil no remuner y practicantes y no incluye la pob ocupada cuyos ingresos princ,1,1
horasmens5,1,Horas mensuales - No Incluye a los trab famil no remuner y practicantes y no incluye la pob ocupada cuyos ingresos total,1,1
inactivo1,1,POB INACTIVA,1,1
inactsinexper,1,Inactivo sin experiencia,1,1
mype,1,Mype,1,1
mype,2,No Mype,1,1
mype1,1,Mype de 1 a 10 trabajadores,1,1
mype1,2,Mype de 11 a 50 trabajadores,1,1
mype1,3,No Mype,1,1
nive4,1,Hasta primaria,1,1
nive4,2,Secundaria,1,1
nive4,3,Superior no universitaria,1,1
nive4,4,Superior universitaria,1,1
nivedu,1,Hasta primaria,1,1
nivedu,2,Secundaria incompleta,1,1
nivedu,3,Secundaria completa,1,1
nivedu,4,Superior no universitaria,1,1
nivedu,5,Superior universitaria,1,1
nivemp,1,Adecuado,1,1
nivemp,2,Visible,1,1
nivemp,3,Invisible,1,1
nivemp,4,Desempleada,1,1
nnive,1,Hasta secundaria,1,1
nnive,2,Superior,1,1
noempleado,1,No empleado:Desocupados mas inactivos con experoencia,1,1
noempleo,1,No empleada,1,1
noempleo,2,Resto,1,1
ocu200,0,Omisión,1,1
ocu200,1,Ocupado,148,1
ocu200,2,Desocupado abierto,148,2
ocu200,3,Desocupado oculto,148,2
ocu200,4,No PEA,148,1
ocu200a,0,Población sin información de empleo,1,1
ocu200a,1,Ocupado,1,1
ocu200a,2,Desempleo abierto,1,1
ocu200a,3,Desempleo oculto,1,1
ocu200a,4,Inactivo,1,1
ocu6,1,Empleador o patrono,1,1
ocu6,2,Trabajador independiente,1,1
ocu6,3,Empleado,1,1
ocu6,4,Obrero,1,1
ocu6,5,Trabaj familiar no remunerado,1,1
ocu6,6,Trabajador del hogar,1,1
ocuinga,1,Población ocupada con ingresos mayores a cero- No incluye a los trabaj fam no remunerados y practicantes,1,1
ocuinga1,1,Población ocupada con ingresos- No incluye a los trabaj fam no remunerados y practicantes y no incluye a la pob ocupada,1,1
ocuinga2,1,Población ocupada con ingresos- No incluye a los trabaj fam no remunerados y practicantes y no incluye a la pob ocupada,1,1
ocupado,1,OCUPADO - Incluye a los trabaj fam no remunerados practicantes,1,1
ocupado1,1,OCUPADO - Incluye a los trabaj fam no remunerados y practicantes y no incluye a la pob ocupada cuyo ingreso total es may,1,1
ocupado2,1,OCUPADO - Incluye a los trabaj fam no remunerados y practicantes y no incluye a la pob ocupada cuyo ingreso principal es,1,1
p103,1,Jefe/Jefa,147,1
p103,2,Esposa(o),147,1
p103,3,Hijo(a),147,1
p103,4,Yerno/Nuera,147,1
p103,5,Padres/Suegros,147,1
p103,6,Otros parientes,147,1
p103,7,Trabaj. Hogar,147,1
p103,8,Pensionista,147,1
p103,9,Otros No Parientes,147,1
p103a,1,Persona 1,3,1
p103a,10,Otro pariente,3,1
p103a,11,Trabajador(a) del hogar,3,1
p103a,12,Pensionista,3,1
p103a,13,Otro no pariente,3,1
p103a,2,Esposo(a),3,1
p103a,3,Hijo(a) / hijastro(a),3,1
p103a,4,Yerno / nuera,3,1
p103a,5,Nieto(a),3,1
p103a,6,Padre / madre,3,1
p103a,7,Suegro(a),3,1
p103a,8,Hermano(a),3,1
p103a,9,Cuñado(a),3,1
p104,1,Si,148,1
p104,2,No,148,1
p105,1,Si,148,1
p105,2,No,148,1
p106,1,Si,148,1
p106,2,No,148,1
p107,1,Hombre,148,1
p107,2,Mujer,148,1
p109a,1,Sin Nivel,110,1
p109a,10,Superior Univ. Completa,110,1
p109a,2,Inicial,110,1
p109a,3,Primaria Incompleta,110,1
p109a,4,Primaria Completa,110,1
p109a,5,Secundaria Incompleta,110,1
p109a,6,Secundaria Completa,110,1
p109a,7,Superior No Univ. Incompleta,110,1
p109a,8,Superior No Univ. Completa,110,1
p109a,9,Superior Univ. Incompleta,110,1
p12b,1,Completa,1,1
p12b,2,Incompleta,1,1
p12b,3,Rechazo,1,1
p12b,4,Ausente,1,1
p12b,5,Vivienda desocupada,1,1
p12b,6,No se aperturo la entrevista,1,1
p12b,7,Otro,1,1
p201,1,Si,148,1
p201,2,No,148,1
p202,1,Si,148,1
p202,2,No,148,1
p203,1,Si,148,1
p203,2,No,148,1
p204,0,Pase,148,1
p2041,1,Si,148,1
p2041,2,No,148,1
p20410,1,Si,148,1
p20410,2,No,148,1
p20411,1,Si,3,1
p20411,2,No,3,1
p2042,1,Si,148,1
p2042,2,No,148,1
p2043,1,Si,148,1
p2043,2,No,148,1
p2044,1,Si,148,1
p2044,2,No,148,1
p2045,1,Si,148,1
p2045,2,No,148,1
p2046,1,Si,148,1
p2046,2,No,148,1
p2047,1,Si,148,1
p2047,2,No,148,1
p2048,1,Si,148,1
p2048,2,No,148,1
p2049,1,Si,148,1
p2049,2,No,148,1
p205,1,Agricultura/Pesca/Mineria,10,1
p205,2,Manufactura,10,1
p205,3,Construccion,10,1
p205,4,Comercio,10,1
p205,5,Restaurantes y Hoteles,10,1
p205,6,Transportes y comunicaciones,10,1
p205,7,"Otros servicios(Sector Publico,anco,sald,educacion,etc)",10,1
p206,1,Empleador o patrono?,148,1
p206,2,¿Trabajador Independiente?,148,2
p206,3,¿Empleado?,148,2
p206,4,¿Obrero?,148,2
p206,5,¿Trabajador  Familiar No  Remunerado?,148,2
p206,6,¿Trabajador del Hogar?,148,2
p206,7,¿Otro?,148,2
p206aa,1,"Fuerzas Armadas, Policía Nacional del Perú (militares)?",26,1
p206aa,2,Administración pública,26,1
p206aa,3,Empresa pública,26,1
p206aa,4,Empresas especiales de servicios (SERVICE),26,1
p206aa,5,Empresa o patrono privado,26,1
p206aa,6,Otro,26,1
p207a,1,Menos de 100 personas?,147,1
p207a,2,Mas de 100 personas?,147,1
p207aa,1,1 persona?,3,1
p207aa,2,2 personas?,3,1
p207aa,3,3 personas?,3,1
p207aa,4,4 personas?,3,1
p207aa,5,De 5 a 7 personas?,3,1
p207aa,6,De 8 a 10 personas?,3,1
p207aa,7,De 11 a 100 personas?,3,1
p207aa,8,De 100 a mas personas?,3,1
p208a,0,Trabajo en este empleo a partir de 1 de enero del 2001,10,1
p208a,1,Trabajo en este empleo antes de 1 enero del 2001,10,1
p209,0,Tiene horas trabajadas,10,1
p209ah,1,Si,1,1
p209ah,2,No,1,1
p209bb,1,Si,138,1
